label,Te_eV,n_lower,n_upper,l_upper,dn,dipole,K_CCC,K_And2002,pct_err
3S->5F,15.0,3,5,3,2,False,3.093923096256051e-08,4.644097419108209e-08,-33.37945316293198
3S->5F,20.0,3,5,3,2,False,2.8210074522684864e-08,4.0787539300853447e-08,-30.83653731939011
3S->5F,25.0,3,5,3,2,False,2.6154098117280756e-08,3.668203798716399e-08,-28.700531506911474
3S->5G,0.5,3,5,4,2,False,1.606736080933859e-08,3.083899233350881e-08,-47.89920294548588
3S->5G,1.0,3,5,4,2,False,4.640829206360779e-08,7.336366354906336e-08,-36.742128434505794
3S->5G,3.0,3,5,4,2,False,8.720035748928125e-08,1.1238869434927448e-07,-22.411806637520414
3S->5G,5.0,3,5,4,2,False,9.030725883410004e-08,1.1557471872801462e-07,-21.862445500193893
3S->5G,10.0,3,5,4,2,False,8.1459599590346e-08,1.0531750768720949e-07,-22.653316263161983
3S->5G,15.0,3,5,4,2,False,7.297479938686932e-08,9.37545345360676e-08,-22.16397878995844
3S->5G,20.0,3,5,4,2,False,6.653584642337287e-08,8.439095474590808e-08,-21.157609101941066
3S->5G,25.0,3,5,4,2,False,6.154083719842243e-08,7.698604191003537e-08,-20.062344196967487
3P->4S,0.5,3,4,0,1,True,1.9785203485239434e-08,2.0470740695865503e-08,-3.3488637309764147
3P->4S,1.0,3,4,0,1,True,3.353918340207876e-08,3.362662853992075e-08,-0.2600472947746679
3P->4S,3.0,3,4,0,1,True,5.35089364454579e-08,4.717591344466574e-08,13.42427213035393
3P->4S,5.0,3,4,0,1,True,6.508260285239284e-08,5.120975258427031e-08,27.09025052463101
3P->4S,10.0,3,4,0,1,True,7.957372691944093e-08,5.5718322924205755e-08,42.81428934551017
3P->4S,15.0,3,4,0,1,True,8.463093630819008e-08,5.772261367595558e-08,46.616604686844255
3P->4S,20.0,3,4,0,1,True,8.616284615679703e-08,5.863027499706945e-08,46.95964868168152
3P->4S,25.0,3,4,0,1,True,8.621499813851771e-08,5.902950447073838e-08,46.054077383040706
3P->4P,0.5,3,4,1,1,False,7.080440628785627e-08,7.091829086282643e-08,-0.16058561703135021
3P->4P,1.0,3,4,1,1,False,1.3790692836849535e-07,1.4263754319187694e-07,-3.3165285362619645
3P->4P,3.0,3,4,1,1,False,2.3693363344374464e-07,2.776144840977053e-07,-14.653720531254134
3P->4P,5.0,3,4,1,1,False,2.588131745948281e-07,3.2378791470544765e-07,-20.06706771922837
3P->4P,10.0,3,4,1,1,False,2.585035350852586e-07,3.437939074046738e-07,-24.8085758596709
